microban-001	dlurrrdlullddruluruuldrddrruldluu
sasquatch-036	urrrruulluurrdddrdlllllllllllrrdrrrddlllllluuurulldludrrrrrrrrrrrrruullururdddrdlllllllllllrrdrrrddlllllluuurulldrrrrrrrrrrrruuurrrdrrddlldddrllldluuurulllllllllllulddduurrrdrrrddddlllllddlluuuurrrrrrllllllddddrruurrrrruuudlllllluuurrrrrrrdlllurrrrrrrdddrrrrddlurullldluuurulllllllllllulddduurrrrdrrddddlllllddlluuuurrrrrrllllllddddrruurrrrruuudlllllluuurrrrrrrdllurrrrrrdddrrrddlulrrulldluuurulllllllllllulddduurrrrrdrddddlllllddlluuuurrrrrrllllllddddrruurrrrruuudlllllluuurrrrrrrdlurrrrruuurrrdddddrdllldluuurulllllllllllulddduurrrrrrdddlllllllluldddldrrluuurrdddldrrrdruulurrrdrruuuuuurrrrruuurrrdrrulllllulldrurdddrdlllllllllllulddduulllurdrrrrrrrrdddlllllllluldddldrrluuurrdddldrrruurrrdrruuuuuurrrrruuurrrdddruurullllldllururdddrdlllllllllllulddduurrrrrrdddlllllllluldddldrrluuurrdddldruuuuruuurrrrrrrrrrrdddrrruruuuurulllllulldrurdddrdlllllllllllulddduurrrrrrdddllllllllulrdulddduurrrdlddllldlururuurrruuurrrrrrrrrrrdddrrrurrurrdllluldrdllldluuurulllllllllllulddduurrrrrrdddllllllllulddduurrdddllluruurrruuurrrrrrrrrrrdddrrrurrrrddlullllldluuurulllllllllllulddduurrrrrrdddlllllllllrrruuurrrrrrrrrrrdddrrrrrrrullluldrdllldluuurulllllllllllulddduurrrrrrdddlllllllluldddldrrdrulluuurrruuurrrrrrrrrrrdddrrruurrrruullldluurulllldllururdddrdlllllllllllulddduurrrrrrdddlllllllruuurrrrrrrrrrrdddrrruurrrulluldddrdllldluuurulllllllllllullrdrrrrrrrrrrruuurrrdddrrrrulllulddddrdllldluuurulllllllllllulldrrrrrrrrrrrrllllldddlllllluuddrrrrrruuulllllulldrrrrrrrrrrrlllllllllllllurluurddldrrrrrrrrrrrrllllllllulldlluurdldrrrrrrrrrrrllddddddllullldddlluulluuurrdruuuurulldlluurdldrrrrrrrrrrlddddddllurdruuuuuddlllllluuurrrrrrdddddllllldddruulurrrrdruuuuuddddllllldddllurrdruulurrrrdruuuudllllllldddldrrrdruulurrrrdruuullllllllullldrrrrdruuuurulldlluurdldrrrrrrrlllldddlllddlddlluurrdrullldrrrrdruuurullulldrrrdruuuurulldlluurdldrrrrrrllldddldddlluuddrruuululldrrrdruuuurulldlluurdldrrrrr
sasquatch-037	lluuuulllluuuuuulluurrdulllluurrddllddlluurlddrrrrudddlludrrrrrrudllddlluuuddurrddddlluuudddrrrrrruulllluurrddllddlluurlddrruuudrrrrddrrllrruulllllrdullddrrddrrrlddrrrllruuudlllluullllrrddrrrrudddrrrruuuuuulllllrddddlllluulluurlddrrddrrrruulllrrruurrrrddlllllrrrddlrddlluuudrrrruurrddlllllrrrrruurrrrrrrruurrdduulllllruulluuudrruullllllddrrrluurrrrddddlluuudrruulllluullllddddrrrrrluurrrrddddlluuudrruullddlllllluullddrrrrrrrrrllllluulruurrddlruurrddlrddddrrddllrruulluuuurrddllddrrddlluuuuudrrddllddrrddlluuuuddddllllllllddddrruuuurrrrddlllruullllddddrruuudlluurrrrddrruurrddlllllllrddlluuudrrrrrrrruurrddllllllllddlluurlddrruuudrrrrrrrruurrddlllllllllllrrrrrrrrruurruurrddddlllllllllllrrluuddrrrruuuuuurrrrdddduuuulluurrdddduulluuuurrddddlllruulllllllllluullddrrrrrrrrrrrruurrddlrddlllludddddddlrrrrrrruulllrrrddlllluurrrruulldurrddllllrrrruulllllluurrrrduudllllddrrudllddddrrrrudlluuudddlllruurlddlllluurrr
sasquatch-038	ddrrddrrrrurdrddlurullllluldrdlldluuuluurrdluldrrrddrrrrrddrrduluurdrrddlurulluurrddlddrdrruuuuuurrddddddddllddrrudlluurrrruuuuuuuuuulllldddllddlddrdrruuuuuuddddddrluuuuuurrddddddddrrddrruulrddlluuuuuuuruuluuullllddduuurrrrdddrdrruuruuldrddlddruuuulddduuuuurdddlddlluluurrllddrdrruuruuldlllddrdrrrddluulluulurrrurdlllddddldddddllllddrrudlluurrrluuuuuuuulluurrrrdddrddluudddddddrrddlluulluuuuuuuulluurrrrdrddldddddduuuuuuruuulllllddrrddddddddrrlluuuuuuuullddddduuuullddlddrdrrrluuuuuurrddddddduuuuuuulluurrrrdrddldddddddllrruuuuuuuruuldddddddddlluullllurlluuruurrddddldrrluuuuuurrdddddddduullullluulullddrurullllllulddddldrurdddrdlluldduurruuuuuurrrrdrrrrullllllllulddddldrurdddrdldluruuuuuuurrrrddlurullllulddddldrurdddrddlluruuuuuuurrdrddluurulllulddddldrurddddurrddlluuuuuuuurrrrrrurrrllddddrdrrrruuuuuullddddduuuuurrddddddllullddluuuurulllllllluldrdlldluuuulurdrrddrrrrrrrurrrrddllllllldlurullluldrdlldluuuddrruuulluurdllldrurrrddddlluuulurddddrruuuullrrdddrrrdrrrrrrrrulllllllllluldrdlurrrdrrrrrddrruurulllllllllluldddrdlulluuuullurrdddddrruuuulluurdrddddldluuuddrrurrrdrrrrrdlllldluurullldluudrrrdrrrrrrrdlllllldluurulllulddldrurddddduuuuuurrddrrrddruuurulllllllulddldrurduurrddrrrdrrrddluuuurulllllllluldrdldllurrdddruldluuruurrrddrrrdrrrrrdlldluuuurulllllllluldddlddrruldrddrrddlluuuuluuuurrrdddrdruuurulllllulddduurrrdddrdrrrurrddluuuurullllllllulddurrrrurrrrrrdddddrrruuuuuullddddduuuuurrddddddlllldluuuurulllllllluld
sasquatch-039	ldddlldrurrdrrdrddlllrrruuluurrrrlluuurrddduuulllllldlddrdrrdrulurrrluuurrdrrrddddllllldluulurruuullllulddduurrrrrdddlddddlllulluuurldrldddrrulluuuruuurrrrrdddlldddurrrrrrrurdurrdddldlluuddrruruuulldlllllldlluurddurrrrrruuurruurrrurrddldlulluldrdllrurrrddldlllldlllllluuruuurrdrrrdddrdllllllldluruldrrrrrrruuurrurrrrruulldurrddlllluldrdllrurrrddldlllldlllllluuruuurrdrrrdddrdlllllldlluurdldrurrrrrruuurruurrrurdrdlllluldrdllrurrrddldlllldlllllluuruuurrdrrrdddrdllllllluulurdrulddddluudrrrrrrrurrrdlllllllllulduruuldrddrrrrrdrddrruurullllllrrrrrdlrddlluurulllrruuuulllullllllldddlddddddrdrddluluuuuuuulurdrulddddddddllurdruuuuuuulurddddddddrruldluuuuudddddrddluuuuuu
sasquatch-040	llddlddllllllrrrrrrrddrrrrrrrrrdrulllddllldllululurrrrrrrrrllllllllddrrrrllllulldrrrluuluuluurddddduuullllllluurrrrrrruurrddlruullddlddrddrrrruurlddllldddrrrulldlululldrrrluuuulllllllullurrrrrrrrrlllllllluurulrrrdduulllddddrdrrrrrruullllllrrrrrrruurrddlllllrrddrulullllrrrrrlddllllllulldrrrrrrrllllluluuururrdddllrruuulldlddduuulluurdldrrddrrruuullldddlddrrrrrrlllluuluulluurdldrurdddldruuuurrrrrlldddrrrrruurrddlllllllllrruuulllddddldrrrrrlllluurrrrrrrdrddddllllllurdrrrdrrrdrrullluurrrrrrrddlludrruullllllrrrrddldllulluuuuuurruulldurrddlllllllllrruuulllddddldrrrrllluurrrrrrrdrdddddruddrrruruulllldluuuuurruulldurrddlllllllllrruuulllddddldrrrlluurrrrrrrdrddddlldrruurrrrrddldllluuddrrruruulllldluuuuurruulldurrddlllllllllrruuulllddddldrrluurrrrrrrdrdddddrdrrrulldluudrrrruulllldluuuuurruulldurrddlllllllllrruuullldddrdluldurrrrrrrrdrdddrrrruuldrdllldluuuuurruulldurrddlllllllllrruuullldddldrurrrrrrrdrdddrrruuldrdlldluuuuurruulldurrddlllllllllrruuulllddddurrrrrrrdrdddrrrrrrruullururddddrruuulrdddlluuluurddduurrdddlllllllldluuuuurruulldurrddlllllllllrruuulllddduuurrrrrdlulllldddrrruurulllldlluurdldrurrrruurrdldldddrrrrdrdddrrrrrrruuurrrrddlruulllldddrrdrullluuurrdduurrddldllllllllldluuuuurruulldurrddllllllllllrrruuuruuldrdlllrruurrrrdllluldrdllrdrrrullluurrrrdllluldrddlddrrrrdrdddrrrrrrruuurrddrdllllllllldluuuuurruulldurrddlllllllllrrrrrrdrdddrrrrrrrrrurrululddrdllllllllldluuuuurruulldurrddllllllllrrrrrdrdddddrrrrrrruurruuulldduurrdddlllllllldluuuuurruulldurrddlllllllrrrrdrdddrruururddurrrddlllllldluuuuurruulldurrddllllllrrrdrdddrruururrdrruuldrdllulddurrrddlllllldluuuuurruulldurrddlllll
sasquatch-041	uludlrrruddrrulldldddruulllrrddluruulldrullldrruururrdrdrdluululuulddduuurrddlldldllurr
sasquatch-042	dldddlddrrrrrrrrrrrruuulluuuullluulllrrrddrddddrrrrdddlllllllllllluurdldrrrrrrrrrrrlllllllllluuuuulldrurddduuuluuluurdddduuurrrrdrdddddduuuuuuluurrrddrddddrrrrrrddddlluuudddrruuuullllullddllrruurrddllruuluuuluullldlllldddrdddlddrrrrrrrrrrrllllllllllluuruuuluuurrrrdrdddddduuuuuuluurrrddrddddrrrrrrddddlluuudddrruuuulllldlulurdruuuddllddlluluuuululllldddrdddlddrrrrrrrrrrrllllllllllluuruuuluuurrrrdrddddddurrrurrrrrrddddlluuudddrruuuullllulldrdruuudlluuuluullldlllldddrdddlddrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuulllrdddllllllluurrrrruulluuuluullldlluuuulldrurdddrdllrrrdrdddddddllllluurduuuulldrurddduuuluuluurddddrdddlddrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuulllrdddllllllluurrrrrululuuuluulllldluuulullldrrrurdddrdrdrdddddddllllluurdldrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuulllldluluuuuluulllldllrrrdrdddddddlllluuuuulldrurddduuuluuluurdddduuurruuurrulllldlluurdrdrrddrrrruurdrrdrrulllluldrdlllldluuudddrrdrdddddrrruuuuuluulllddrddrdduuluuluurrrddrdddddlluldduuuuuululllldddrdddlddrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuullllldluuuuddddlluuuluuluurrrddrluulurrrdrrulllluldrdllldlluuulullldrrrurdddrdllruuurrulllldlluurdrdrrdddrrdrdddddddllllluurduuuulldrurddduuuluuluurddddrdddlddrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuulllldlluuuuuluulllldluuulullldrrrurdddrdllrrrdrddluuudddrdddrrruuuuuluullldlluuurrulllldrrdddrruldluuudddrrdddrdddddllllluurduuuulldrurddduuuluuluurddddrdddlddrrrrruuuluuuuululuulllluurdldrrrurdddrdllruuurrullldrdddrrddddddrrrruuuuuluullldddddddrrrrrruldluuuuddddlllddrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuullllldluuudddlllddllllluurdldrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuullllldluuddlllddlllluuuuulldrurddddldrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuullllldludlllddlllluuuuuluuluurddddldrurddddldrrrrrrrrrrrlllllluurrrurrrrrrddddlluuudddrruuuullllldllluuuluuluuldluuululdlluurdldrrrurdddrdllrrrddddddrddlllluuuuuluuluurddddldrurddddldrrrrrrrrrrrlllllluurrrrurrrrrddddlluuudddrruuuulllldlllluuuluuluulluurrulllldlluurdldrrrurdddrdllrrrddddddrddlllluuuuuluuluurddddldrurddddldrrrrrrrrrrrlllllluurrrrrurrrrddddlluuudddrruuuulll
sasquatch-043	lulllllluuuulllllllllddddrdrdddllulldllddrdrddrrrrrrrrurrruuuuuuuuddrluurrdlurrrdlurrrdlulldrullldrldllurdrururrdlllrrrurrdllulldldllururrrrlldullddrururrdllldllururrllddruldddddddrrrrrrrurldlllllllldllllllllrrrrrrurrrrrrrrrruruuldldurrrldrullldrlldlllllllluuuuuuuluuruldddrddddddddllllllldlluruululuurrurrdrruuuuuurdrrulrrrdlllrddrddddddddllllllldlluruululuurrurrdrruuuulluuuurrrrrdduulllllddddrruurrdrudddrdddddddrrrrrrrrurrdlllllllldllllllllldlluruululuurrurrdrruuuulluuuurrrrrrrrrddddddddddduuuuuuuuuuulllllllllddddrruurrdrddrddddddddrrurrrrrrlllllldlluuuuuuuuluuuuddddrddddddddrruruuuuuuuuuuuullllllllllllulddrduurrrrrrrrddldlurruulllllddddrdrrullluuuurrrrrddllldurrruulllllddddrdrrulldluuuulurrrrrrrrllddllldrldddddllurdruuurulldluuuulurrrrrrrlddllldddddlllldllurrrrrdruuurulldluuuulurrrrrrlllllllldddluruurrdrddddrrddlllllldddrdrrrruuulurdruuurulldluuuudddrruurrruullllllllrrdrddddrrddlddddrruldluuulurdruuurulldluuuulurrrrrlllldddddrrddlddddllurdruuulurdruuuuruuldrdlldluuuulurrrrllldddddrrddlllllldddrrrrdruuulurdruuurulldluuuulurrrlldddddrrddldddlllluulurrrrrdruuurulldluuuulurrldddddrrddrrdllullllldddrrrruulurdruuurulldluuuulurdddddrrddlllldrrlllddrrrruulurdruuurlluluuuulllddlluurrrrllddlulurrrldddddrrrurrdrluurduurrdlluldrdluurrrrrdllluldrrddrddddddddllllllldluudrrrrrrrruuuuuuuuluulllddddlllllddddrrrrrllllddrrrrrrrrrruldllllllllluuurrruuuruuuurrrddrdddddddrdlllllllldluudrrrrrrrruuuuuuuuluulllddddlllllddddrrrllddrrrrrrrrurrrrrrrrurrdllllllllldllllllllluuurrruuuruuuurrrddrdddddddrdlllllllldluudrrrrrrrruuuuuuuuluulllddddlllllddddrddrrrrrrrrurrrrrrrrururrrdlluldrdllllllllldllllllllluuurrruuuruuuurrrddrdddddddrdlurrrrrrrrururrrrrdlllluldrdlllllllldllurrrrlllluuuuuuuluulllddddldddllldddrrrrrrrrdrulurrrllldlllllllluuurrdluldduurrruuuruuuurrrddrddddddddllllllldllurrrrrrrrrdrulurrlldlllllllluuurrrrdllluldduurrruuuruuuurrrddrddddddddllllllldllurrrrrrrrrdrulurldlllllllluuurrrrrrdllllluldduurrruuuruuuurrrddrddddddddllllllldllurrrrrrrrrdru
sasquatch-044	rrrdulllddddrdrlulldrddrrrudllluuurruuurulrurrdluuuuluurdddduuuulllluurrrrdddlddrdrrrrrruuuuulllldllldddrdrddldllururlddrurudllururrrrrllllulluuurrrurrrrdddddddldrrrrluurrdddddldrurduluuuuullllullllllddrulurrrrrllllulluuurrrurrrrdddddddldrrrdrruldluuullulllllulluurdddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrrrluurrddddullddrrrluuuuullllullllluluuuuullllddrddrrurdddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrrrluurrddldrrrurdullluullllulllllululllurrurddddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrrrluurrdddddldruuuuuullllullllluluuuuuldddldrurdddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrrrluurrddddduuuuullllullllluluulllurrurdddddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrluurrddddlddrruldluruuuuullullllluluuuuullldrrurddddddrddllurdrulurrrrrlllluluuurrurrrrdddddddldrrluurrddddduurrrrrrddlllllluurrrrrdrdlllluuulluulluuuuuullllldlluurddddddrddllurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrdddduuuulllluuuuuulllllllllldrrrurdddddrddllurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddduuulllluuuuuullllllulllllldrrrrrurddddddrddllurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddldrrrurddrdllruuullluullllulllllulullllulurrrrurdddddrddllurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddldrrrurddrdluuullluulllluuuuuullllllulllllldrrrrrurddddddrddllurdrulurrrrrlllluluuuurrrrrrdddddddldrrluurrdddduuuullulllllldldldddruulurdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddldrrrurdullluullllulllllldldlddddlluuuurrrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddldrrrulluullllulllllldldllldrrdrulurdrulurdrulrlurrrrrlllluluuuurrrrrrdddddddldrrrrluurrddrdlurrrrdllrrddlurulullluullllulllllldldllldddrdruuulurrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluurrdduullllulllllldldldddluulurrrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrluurrddduuullulllllldldllldddddddrruuuuuulurrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrluurrdduullulllllldldlddddddrruluuuulurdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrrrluullulllllldldddddddluuuuulurrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrruullulllllldldlllddddddruuuuulurrrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldrrluuulllllldlddddddddluuuuuulurrdrulurdrulurrrrrlllluluuuurrrrrrdddddddldruuuurrdd
sasquatch-045	ruurruruullllldddllddludrddlullllluurdldrrrrrlllluuuuuluurdddddlddrrruurrrurruuurrrurrruruuruuldllulldldldllluullldrddlddllrruuruuurrddrrdduulluulldddlddrrurrlldllllddddlddrrruurrrurruulurrrrrurdddddddduuuuuuuururuulululldldldldduulluulldddlddrrurrdrrrrrurddduurrdddllulddduuuruuururuulululldldldlddldrrrrrurddduurrdddllulduruulllllullldllurrrrllluuuurrddrrddldrrrrrurdddldrrrurddldrurddrdllruuuluuluurrruuldrdlllluldddldrrrurddldrurduluuluuluurrrdrruuldrdluldrdlllluldddldrrrurdldruuluuluuruuruulddduullulldrrrlllldldldddrrrurrrurrrdrruuldrdluldrdlllluldddldrrluuurrddrddluudlluuuururuuruulddduullllldldldddrrrurrrurrrdrruuldrdluldrdlllluldddldrrlddddrdrrurruulluuuldlluuuururuuullldrrurdduullllldldldddrrrurrrurrrdrruuldrdluldrdlllluldddldrrrllddddrdrrurruulluullluuullllluuururrrrrurddulllllldldddrrrurrrurrrdrruuldrdluldrdlllluldddldrrrlluuulllllullllldddruulurrrrllluuuurrddrrddldrrrrrurdddldrrluuurrdulllllllulllluuullluurdldrrurdddluddrrrrllluuuurrddrrddldrrrrrurdddldrddddrddluuuuuuuuuruldllllluuulluulllldrurdddldrrrrllluuuurrddrrddldrrrrrlllluuururrrrrrddldldddddddduuuuuuullllllddrdluuuulllldllddddlddrrrrruddruuldllllluurdldrrrrlurdrdrullllluuuuuuulldrurddddddldrrrrrlllluullurdruuuluurddddddldrrrrllluuuuuurrurrrrdrrrrrrdddddddrddluuuuuuuuudddddluuddrddluuudddrdrrrulldluuuuuddddrrrrruuldrdlllldluuuudddrrrruurul
sasquatch-046	lllulldrlludrrddlllluuuuurrrrlluurrruuuuuuullllllldddlruulrddlulluurrrrrrrrrurddddddduuuuuuurrrrrrrrrrrdrrurrddlddrdddlluuluulrddrddldrdddllldlluruuluurrdrluluurururdlldlluluurrdrrlullllllllddduuurrrrrddrddddlldddllddlllllddlllluuuuurruurrruuuuuuuurrrrrrdullllllddddddddlllddlldddddrrrruuulldruluddrrddlllluuurldddrrrruulludrrrrrrruuurldlluruuruuruuldlluuurrrruurrrrrdrrulrrrddlddruddddlldddddrdrddlullllllllulllllrrruuluuuruuruuldlluuurrrruullllllldllllllddllulurldddruullldrrrrldrulurlur
sasquatch-047	urrdrrdrrrdrruuddlluurldlllullulllulllulldddddrdrruluurrudlldddrddlddrrdrrrrrlurrrrrurrdrrruuddllllldlurrrrrruuluurddduullldddrrdrrullllluldrdluuuurrrrurddduullldddrrdrrullllldlulllllldlllulluurrrrrrdullllllddrrdrrrurrrrrrdrruuldrdlulllllluurrudllururlddrulldllurrdrullldllllddrulurrrrrurddulllllddrdrrrurrrrrrruuurrrdrddllldluudlllllluullllluurdldrrrrurddulllllddrdrrrurrrrrrrdruuldlllllluulllluululuurddddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdrrulllluldlllllluulllluuluuururrdlddldlluurdddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrurdrrruuulllduldurrrdrddlllllllllluulllluuuruuuuullllldddddrrurdddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuurulllllrrrdrddlllllllllluulllluuuruuuuullldddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuurullllrrdrddlllllllllluulllluuulllluuuururdddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuurulllrdrddlllllllllluulllluuulllluurdldrrurdddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuurulldrddlllllllllluulllluuululluluurrddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuurululdrdddlllllllllluulllluuuruulldlluluurrddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuuruulldrdddlllllllllluulllluuuruuuulluldddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuuulurddddlllllllllluulllluuuruuurrrdlllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuuudddlllllllllluulllluuuruurrrrrullllluldrdllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruuuddlllllllllluulllluuuruurrdlulllddrrurulllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdruudlllllllllluulllluuuruuuuurddrdllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrrrrdrulllllllllluulllluuuruurrrrdrrrruruuldldlllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrrlllllluulllluuuruurrrrrrrurrdlllllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrrllllluulllluuuruurrrrrrrrddrruldlurulllllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrrlllluulllluuuruurrrrdrrrurrddlurulllllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrrrllluulllluuuruurrrrrrrururrrdlluldrdlllllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrurrluulllluuuruurrrrrrrurrrrrrddlllldlurulllllllllllruullddddldrurddrdrrrrddldlllululurrrrrurddulllllddrdrrrrruluulllluuuruurrrrrrrurrrrdlllllllllllllruullddddldrurddrdrrrrdddllllululurrrrrurdddrdlllrruuulllluuuruurrrrrrrurrrrrrdlllllllllllllllruullddddldrurdddlddrulurrrrrurdddrdllruuulllluuuruurrrrrrrrrrrrdllldlurulllllllllllruullddddldrurdddlddrulurrrrrurdd
sasquatch-048	rrrrrrddldldldldlddrulurdrulurdrullddlllllllluuuuuuullulrddddlluluurrurdlllddrdrrddddrrrrrrrrrdrulurdudrulldllllllluuuurrdrruuuuuuruulllllluludlddddrdlrrrdddrrrrrruldllllluuulluluuuurrdrrrrrrddlddddrdldlluurrdluldrrrrulluuuuruuldddddduuuuuulllllulldddddrrrdddrrrruuuuuuuuuldrddddddddlllluuulluluuuurrdrrrrurdrddlluurdldruuuulddllllulldrrrrrrllllllddddrrrdddrrrruuuuuuullllllllldrurrrrrrrrdddddddlllluuulluluulururrddllurdrulllldrrdddrrrdddddddlluuuulluluuurldddrdrdrdddrruuuuuuullluuudddrrrdddrrrruuuuuuulllllllddddrrrdddrrrddlurullrrruuuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurururldldldllllllluuuurrrrurrdlllllrrruuuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrurururudldldllururururldldlddrurururuuurullldluudrrrddddldldllurururldlddrururuuurullluldrrrddddldllururlddruruuurulllrrddddllurdruuuruuuuulllldlddrrdrrdruuuurullldrdrddlddldldldldldllllllluuuurrurldlluuulluluuurrrrrrrddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurdrulurldldllllllluuuurrurruuuuurrdluldddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurdrurudllldllllllluuuurrurruuuuuuluurddddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurururldlddrururudldllurururldlddrururuuuruuuuuullllddlddrrdrrdruuuurulddddlddddldllururlddruruuuruuuuuullllddlddrrdrrdruuulurdruldddlddddllurdruuuruuuuuullllddlddrrdrrdruuuudddlddldldldldldllllllluuuurrurruuuuludrddddlldlluuulluluuurrrrrrurdddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurdrulurdrulurdlldldllllllluuuuuuulluluullurrrrrrrrurdddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurdrulurldldllllllluuuuuuulluluuuururdldrrrrrurdddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrulurldllllllluuuuuuulluluuurrdlurrrrrddrddddlldlluuulluluulurrrrrrrurdddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuullullldddrdrdrdddrrrrrrrrrdrurururudldldllururururrlldldlddrururudldllurururldlddrururuuuruuuulluullddlddrrdrrdruudllullluuruurrddrdrddlddddldllururlddruruuurulddddllldldldllllllllluuuulluluurlddruulurddddrdrdddrruuuuuuullluuulurrrrrrrurdddddddrdlluldlluuullulllddrulurdruuulrlurrrrrrrurdddddddrdulldrllllddddlluuuuuldluuulurdruuulurrrrrrrurdllllllldddldddrruddddddrruuuuuuulllullddrulurdruuulrdddrrrdddrrrddlurullrurruuuuluullllldldddrrrdddddduuuuuulldddddddrrrrrrrrrdrulurdrulurdrulldldllllllluuuurrurrrrdlllllrurruuuuluullllldldddrrrdddddduuuuuulldddddddrrrrrrrrrdrulurdrulldllllllluuuurrurruuuuluurddddddrdllllrurruuuuuulllllldldddrrrdddddduuuuuulldddddddrrrrrrrrrurrdluldllllllluuuuuuulluluulurrrrrrrurdddddddrdllllrurruuuuuulllllllddddrrrdddddduuuuuulldddddddrrrrrrrrrurdurrururuuldldldururruuurrdddlldldldlrururuuldldldldurururrdldldllrdlrururuuldldurrdldlruuldldurrdluurururuuruuulluurrdddddrdlulddurrddlluldrdluldururuuruuurrdluldddrdlulddurrddlluldrdldlruuuruuruuullururdddddrdlulddurrddlluldldldduururrdldllrruuldrdluldurururuuruuurruldlluurdddddrdlulddurrddlluldrdluldduururuuruuuuulllldrrrurdddddrdlulddurrddlluldrdluldrdluururuuruuuulllldlddrrdrrlullluururrdrdrddrdlulddurrddlluldrdllururuulullldrrrrlullluururrdrdrddrdlulddurrddlluldrdluldururuullllddrulurrrrdruuuluurddddrdlulddurrddllluruulullluurddldrrrrdruuuluurddddrdlulddurrddlluldrdl
sasquatch-049	rrddrruurrruuuuruuluurddddlddddrddrruuuruullluldddrdddlllluurrrurddullllddrrrruullluuullluuuluurddddldrrrurdddldddrrrruullluldduuruulllldddrddrrrluurrruuurrruuuruulddddrdllluldddrdllluldduuruulllldddlluuuuluuruulddddrdddldddlluuuluurrrurdddldddrrrruullluldduuruullluuuluurddddlddddrddrruuuruullluldddrdddlllluuuruuuluuruulddddrdddldddlluuuluurrrllldddddrrruurrrurddullllddlluuuluurrrurdddldddrrrruullluldduuruulllldddddrrrrluuuruullluuuluurddddlddddddrrruuuruullluldddldrurddldruuuluurrrrdddrruuurrrrddldddlrrrrllluurrruuurrruuuruulddddrdllluldddrdllluldd
